Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.14085115,42.45394197,42.63735397,42.74880399,42.8547445,42.98180452,43.32602511,43.63225277,43.90513622,44.13678049,44.32524328,44.6714964,44.93724353,45.13806839,45.27967163,45.35050389,45.62518403,45.86663616,46.06429647,46.1837308,46.17974709,46.46488719,46.72046511,46.95762311,47.22076463,47.57596785,47.73805001,47.78474517,47.80198494,47.92694372,48.30821955,48.21736073,48.13079189,48.08823361,48.02023363,47.81874009,48.07155852,48.3366849,48.55480851,48.72729173,48.89337334,48.8226633,48.64540456,48.4139118,48.15413988,47.85964149,47.98974193,48.12623263,48.22715133,48.25041109,48.17814541,47.70159044,47.08975945,46.38667074,45.64058919,44.87703888,44.27211325,43.682526,43.09017551,42.47227139,41.82260145
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.06084102,54.73792752,54.55853274,54.46502511,54.39103249,54.30930304,53.95559201,53.65164137,53.39364823,53.19026204,53.04314386,52.6932681,52.43530035,52.25242657,52.13681679,52.09805062,51.81646304,51.58404186,51.41110266,51.33050671,51.3855003,51.08235681,50.83268594,50.62900541,50.43249539,50.18463408,49.99050372,49.92051383,49.89523589,49.78777689,49.45923836,49.54030813,49.60984557,49.62835572,49.66188555,49.81294163,49.55905918,49.30437504,49.10366498,48.95342009,48.81468211,48.90546984,49.09874752,49.34294013,49.61243489,49.91287028,49.75843687,49.60312962,49.48568076,49.4439988,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755,54.9119344,55.52832889
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.798307831,2.808130512,2.804113291,2.786170893,2.754223004,2.708892442,2.718382881,2.716105865,2.701215552,2.672957476,2.631612862,2.635235496,2.627456119,2.609505042,2.583511575,2.551445486,2.558352938,2.549321988,2.524600864,2.485762493,2.434752609,2.452756001,2.446848941,2.41337148,2.346739983,2.239398074,2.271446269,2.294741004,2.302779178,2.285279391,2.232542086,2.242331144,2.25936254,2.283410667,2.317880814,2.368318278,2.369382304,2.358940062,2.34152651,2.319288177,2.291944549,2.271866861,2.25584792,2.243148067,2.233425234,2.227488227,2.251821196,2.270637747,2.287167908,2.305590109,2.328131562,2.354461852,2.386293853,2.420207459,2.451574871,2.478662289,2.519922544,2.55425147,2.58492694,2.615794214,2.649069652
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,..,1.898498719,1.965804828,2.029830298,2.090207709,2.147638846,2.171068186,2.188164589,2.25448537,2.384674381,2.536743603,2.665128505,2.714538547,2.659056585,2.479516591,2.200731281,1.981388587,1.747747775,1.281715197,0.522282315,-0.407658192,-1.39341634,-2.219779588,-2.712854086,-2.695381732,-2.20451624,-1.706755536,-1.127989402,0.116007965,2.136295072,4.47695438,6.900124486,8.546107005,8.790896707,7.659795534,5.884278564,4.019477716,2.636501764,1.947343862,2.170428511,2.975057223,3.902804964,4.496718747,4.668343795,4.321559517,3.682699881,2.990523836,2.493830391,2.268273041,2.396978302,2.746614638,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.15768051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.44885063,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7732337,59.86089999,58.4580087,78.70642878,82.09530653,101.1083252,137.594298,160.8984342,129.108311,129.3297604,156.5187713,159.567509,135.317228,143.1446495,173.6536247,186.5108383,197.4455076,224.2250016,247.3540878,275.7381154,272.6555102,264.1111971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.663542,437.2687402,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708
Albania,ALB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,40.15573715,40.54175247,40.90083018,41.21300835,41.43349493,41.53327944,41.64311054,41.60100864,41.43733439,41.19912617,40.91222096,40.54411315,40.18307442,39.79603606,39.3373709,38.79614319,38.31064961,37.72861632,37.10313466,36.50874118,35.98157074,35.50002813,35.08037738,34.70892002,34.36552646,34.04716076,33.77432321,33.54513785,33.33682185,33.09766186,32.77468273,32.89423987,32.94000467,32.90277069,32.82249368,32.74220864,32.2186078,31.75034648,31.31451559,30.85643596,30.33369412,29.66804528,28.9329781,28.14017087,27.3232048,26.50088603,25.57204146,24.71715538,23.91561799,23.1605746,22.45508261,21.47130771,20.60059106,19.85625682,19.22028239,18.66872766,18.38369645,18.02831249,17.67287372,17.3995641,17.23585785
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.43343581,54.06735487,53.69376285,53.35197169,53.11027026,53.00893221,52.95328648,53.06192902,53.29185393,53.58091449,53.89474252,54.27467851,54.63919264,55.02295895,55.47509248,56.00808879,56.47272212,57.03333287,57.63744486,58.2116114,58.7200161,59.17331439,59.56860883,59.91958862,60.24826627,60.55820306,60.81790624,61.0436066,61.24633198,61.46117544,61.73033892,61.45698917,61.23249553,61.07131356,60.94690672,60.8253109,61.21760738,61.5670544,61.88800398,62.22271966,62.60814516,63.01736522,63.47476974,63.97268397,64.48562462,64.9983964,65.52240419,65.96118389,66.33378604,66.6470908,66.89951198,67.51370625,68.01189803,68.37295397,68.59902531,68.70472473,68.66009247,68.64261422,68.58239036,68.39780528,68.05956084
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.410827033,5.390892655,5.405406961,5.435019963,5.456234806,5.457788353,5.403602984,5.337062349,5.270811679,5.219959338,5.193036522,5.181208334,5.17773294,5.181004991,5.187536617,5.195768021,5.216628269,5.238050808,5.259420487,5.279647422,5.29841316,5.326657474,5.351013789,5.371491361,5.386207277,5.394636175,5.407770549,5.41125555,5.416846169,5.441162703,5.494978353,5.648770956,5.827499795,6.025915757,6.230599593,6.432480462,6.563784813,6.682599124,6.797480424,6.920844385,7.058160712,7.314589495,7.592252159,7.887145156,8.191170579,8.500717569,8.905554353,9.321660726,9.750595968,10.1923346,10.64540541,11.01498604,11.38751091,11.77078921,12.1806923,12.62654761,12.95621108,13.3290733,13.74473591,14.20263062,14.70458132
Albania,ALB,Population growth (annual %),SP.POP.GROW,..,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.577942252
