Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Lower middle income,LMC,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,16.43113423,16.39365097,16.3803715,16.38989788,16.39183661,16.3748957,16.40082087,16.3395397,16.22542705,16.1079302,16.02629636,15.98616057,15.91988467,15.84328069,15.76640887,15.70629147,15.70777375,15.64436336,15.54749657,15.45665083,15.40486937,15.3943833,15.36938647,15.33155326,15.27128738,15.18846788,15.15113651,15.0165332,14.81637954,14.59059234,14.3774726,14.17046536,13.94250092,13.70752713,13.47426886,13.25021269,13.03909685,12.83121172,12.62940842,12.43884331,12.26693719,12.14833674,12.01710232,11.88255144,11.7549377,11.6427765,11.5596559,11.46818475,11.3711195,11.26895307,11.16525264,11.0805747,10.96670067,10.83541452,10.70229476,10.57828193,10.45267462,10.33682577,10.2282225,10.11983891,10.00798381
Lower middle income,LMC,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,16.64860678,16.56171784,16.53689948,16.5591995,16.57568704,16.55978006,16.58900584,16.52297995,16.39750775,16.26800023,16.17640086,16.12472531,16.05479563,15.97999811,15.90676845,15.8494932,15.85428778,15.80054034,15.7173559,15.64221849,15.60595765,15.61180595,15.60746183,15.59166654,15.55122934,15.48357918,15.45934866,15.3320978,15.13575908,14.91357286,14.70496462,14.49840016,14.28049464,14.06045018,13.84079666,13.62521666,13.42580848,13.22422607,13.02473686,12.8356543,12.66620428,12.54603192,12.41765044,12.2876821,12.1618952,12.04616922,11.96088306,11.85835279,11.74477561,11.62594867,11.50824201,11.40350466,11.28017603,11.14629743,11.0121459,10.88592096,10.76201625,10.64414443,10.530982,10.41796615,10.30309692
Lower middle income,LMC,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,40.5583833,40.89763782,41.24450285,41.5604478,41.78506871,41.89440354,42.06218297,42.10248405,42.04917326,41.95144957,41.83484788,41.78770323,41.70843965,41.60027701,41.45963436,41.2884316,41.22498591,41.10697216,40.9552594,40.79581724,40.64331828,40.58349663,40.51825152,40.44001374,40.33260505,40.18734962,40.13326587,40.01120873,39.83651342,39.62687086,39.39861766,39.19481726,38.95638781,38.68104508,38.36234686,37.99762304,37.64331997,37.24912719,36.82062788,36.37077671,35.91199252,35.53574289,35.15140424,34.76556569,34.38579035,34.01619677,33.67798067,33.35144415,33.0359462,32.72825988,32.42520717,32.1483921,31.86418617,31.57596311,31.28968124,31.00631742,30.73141353,30.46265133,30.1947041,29.91963825,29.63393871
Lower middle income,LMC,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,13.30575655,13.52183848,13.65295031,13.69116412,13.66288884,13.60844099,13.65296257,13.69396129,13.71716115,13.70617383,13.64593404,13.65007462,13.63441872,13.58867577,13.51241708,13.40925509,13.38723032,13.37337625,13.35552053,13.31917057,13.24976718,13.23741338,13.21933804,13.18901339,13.14556897,13.08875485,13.09009699,13.10608937,13.12271128,13.11829716,13.07127514,13.04378658,12.98402581,12.88624828,12.75444021,12.59717046,12.46596594,12.31458246,12.14235128,11.95399343,11.75697506,11.61191317,11.4754217,11.34400203,11.21296599,11.07680447,10.96023741,10.85500225,10.75746373,10.66326502,10.56678096,10.48456145,10.41267486,10.34640112,10.27849698,10.19953336,10.1246482,10.03960975,9.94355348,9.840081088,9.735096752
Lower middle income,LMC,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,13.61137375,13.850527,13.97998836,13.996348,13.93980775,13.86735552,13.89790459,13.93154916,13.95412142,13.94584723,13.88725642,13.88128948,13.85480885,13.79859184,13.71392284,13.60617504,13.57495877,13.55373788,13.53147629,13.49442546,13.42861068,13.41783793,13.40321862,13.37929183,13.34557586,13.30169517,13.31353734,13.34301651,13.37529585,13.3870545,13.35469764,13.33527293,13.27996432,13.18404307,13.05388308,12.90117866,12.77701955,12.63517387,12.4747049,12.29871311,12.11262839,11.97365743,11.84101266,11.71166777,11.58225231,11.44875677,11.33629809,11.23735153,11.14676342,11.05778694,10.96245799,10.87489298,10.79125379,10.70807546,10.62142229,10.52628197,10.43739231,10.34259639,10.24090726,10.13411574,10.02549101
Lower middle income,LMC,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,10.52390965,10.67831619,10.88977905,11.13659311,11.37220863,11.54747965,11.64478036,11.71239932,11.76133443,11.80261033,11.83528554,11.83870206,11.85160077,11.87265074,11.89026776,11.88646943,11.85022547,11.81304558,11.77678648,11.74234304,11.70588032,11.66201098,11.62979587,11.60748653,11.59048938,11.57104575,11.54125041,11.52561685,11.52137588,11.52742666,11.54392906,11.56394805,11.59958106,11.64246012,11.6757935,11.68152196,11.65621662,11.61004076,11.5456311,11.46462977,11.36396031,11.24528046,11.12046849,10.99208026,10.86423978,10.73891126,10.59722219,10.46653203,10.3467093,10.23704635,10.13603685,10.03472678,9.943391419,9.859892227,9.783618498,9.713956099,9.650444029,9.595134007,9.545048017,9.493977478,9.435324374
Lower middle income,LMC,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,10.58739507,10.78052566,11.03962815,11.33735099,11.61664486,11.81951572,11.92721214,11.99294294,12.03154863,12.06138947,12.08768995,12.08407217,12.09122708,12.10732885,12.11958619,12.10946408,12.06586206,12.01935324,11.97240563,11.92728361,11.88182375,11.83351099,11.7968378,11.77004809,11.74959524,11.72922867,11.69857967,11.68589759,11.68776968,11.70244564,11.72988326,11.76235357,11.81028089,11.86484163,11.90840797,11.92232508,11.90442064,11.86451412,11.8055659,11.73047574,11.63760256,11.52629408,11.41079423,11.29239769,11.17426516,11.05785072,10.9204198,10.79627932,10.68403382,10.58263549,10.49083657,10.39827246,10.31432279,10.23631839,10.1622999,10.09027744,10.01741832,9.949206726,9.883544838,9.816821202,9.74505779
Lower middle income,LMC,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,9.18505577,9.088403662,9.02843192,9.013851213,9.057458088,9.162810523,9.293740308,9.48576151,9.704413542,9.903869014,10.06005537,10.14254033,10.19410499,10.22610374,10.25604706,10.29346501,10.31251555,10.3409709,10.37129012,10.39220763,10.39797954,10.36930489,10.33282626,10.29431337,10.26277602,10.2431967,10.20824006,10.19207081,10.19023653,10.1963285,10.2080851,10.20363974,10.20638612,10.22041141,10.25067393,10.29730013,10.34266453,10.40104239,10.46305143,10.51343893,10.54130171,10.52361404,10.49041964,10.4448986,10.38893925,10.32275796,10.2175737,10.10115559,9.982372233,9.868328871,9.761857686,9.656637436,9.557961613,9.466160216,9.380747733,9.300651911,9.219747752,9.143692742,9.074942993,9.015624335,8.965631097
Lower middle income,LMC,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,9.202373406,9.111018197,9.046029695,9.025408455,9.074144752,9.200819934,9.361329831,9.596556878,9.864245478,10.10564777,10.28920467,10.38627881,10.43693661,10.45833077,10.4762795,10.5049349,10.51932457,10.54386319,10.57081202,10.58700892,10.58534166,10.54835432,10.50257642,10.45578755,10.41770577,10.39269594,10.34840012,10.32338565,10.31413854,10.31525353,10.32493969,10.32389052,10.33148373,10.35194052,10.39019972,10.44613236,10.49984519,10.56919671,10.64360627,10.70597769,10.74431536,10.7267546,10.69448824,10.65260113,10.6042615,10.54925941,10.44378462,10.33182801,10.22291422,10.12239206,10.03072496,9.93927842,9.852450285,9.771638401,9.697779673,9.630203495,9.557181501,9.489169856,9.427273898,9.371375694,9.320030613
Lower middle income,LMC,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.98293579,55.6136419,55.24347893,54.91230217,54.68130869,54.5740132,54.37643758,54.31537752,54.35433959,54.44179438,54.55065494,54.55854213,54.6059347,54.68955633,54.81268262,54.97276874,54.99933446,55.08761601,55.21794613,55.36654132,55.51886781,55.56198315,55.62338637,55.70562624,55.81901291,55.96844082,56.0018184,56.10458222,56.2607315,56.45209156,56.66374347,56.81699752,57.00775613,57.23956865,57.52039064,57.85195928,58.14585371,58.48760473,58.86828734,59.27157256,59.68317141,59.9952028,60.31982098,60.65291744,60.99074089,61.32983757,61.61467174,61.89799611,62.17734632,62.45230024,62.72314194,62.94230582,63.17079121,63.39988374,63.61766226,63.81847389,63.97874046,64.12481832,64.2631951,64.40367034,64.55010271
